Effective Date,Bank Rate,Repo,Reverse Repo,SDF,MSF,CRR,SLR
05-12-2025,5.50,5.25,3.35,5.00,5.50,-,-
29-11-2025,5.75,5.50,3.35,5.25,-,3,-
01-11-2025,5.75,5.50,3.35,5.25,-,3.25,-
04-10-2025,5.75,5.50,3.35,5.25,-,3.5,-
06-09-2025,5.75,5.50,3.35,5.25,-,3.75,-
06-06-2025,5.75,5.50,3.35,5.25,5.75,-,-
09-04-2025,6.25,6.00,3.35,5.75,6.25,-,-
07-02-2025,6.50,6.25,3.35,6.00,6.50,-,-
28-12-2024,6.75,6.50,3.35,6.25,-,4,-
14-12-2024,6.75,6.50,3.35,6.25,-,4.25,-
08-02-2023,6.75,6.50,3.35,6.25,6.75,-,-
07-12-2022,6.50,6.25,3.35,6.00,6.50,-,-
30-09-2022,6.15,5.90,3.35,5.65,6.15,-,-
05-08-2022,5.65,5.40,3.35,5.15,5.65,-,-
08-06-2022,5.15,4.90,3.35,4.65,5.15,-,-
21-05-2022,4.65,4.40,3.35,4.15,-,4.5,-
04-05-2022,4.65,4.40,3.35,4.15,4.65,-,-
08-04-2022,4.25,4.00,3.35,3.75,-,-,-
22-05-2021,4.25,4.00,3.35,-,-,4,-
27-03-2021,4.25,4.00,3.35,-,-,3.5,-
22-05-2020,4.25,4.00,3.35,-,4.25,-,-
17-04-2020,4.65,4.40,3.75,-,-,-,-
11-04-2020,4.65,4.40,4.00,-,-,-,18.00
28-03-2020,4.65,4.40,4.00,-,-,3,-
27-03-2020,4.65,4.40,4.00,-,4.65,-,-
04-01-2020,5.40,5.15,4.90,-,-,-,18.25
12-10-2019,5.40,5.15,4.90,-,-,-,18.50
04-10-2019,5.40,5.15,4.90,-,5.40,-,-
07-08-2019,5.65,5.40,5.15,-,5.65,-,-
06-07-2019,6.00,5.75,5.50,-,-,-,18.75
06-06-2019,6.00,5.75,5.50,-,6.00,-,-
13-04-2019,6.25,6.00,5.75,-,-,-,19.00
04-04-2019,6.25,6.00,5.75,-,6.25,-,-
07-02-2019,6.50,6.25,6.00,-,6.50,-,-
05-01-2019,6.75,6.50,6.25,-,-,-,19.25
01-08-2018,6.75,6.50,6.25,-,6.75,-,-
06-06-2018,6.50,6.25,6.00,-,6.50,-,-
14-10-2017,6.25,6.00,5.75,-,-,-,19.50
02-08-2017,6.25,6.00,5.75,-,6.25,-,-
24-06-2017,6.50,6.25,6.00,-,-,-,20.00
06-04-2017,6.50,6.25,6.00,-,6.50,-,-
07-01-2017,6.75,6.25,5.75,-,-,-,20.50
04-10-2016,6.75,6.25,5.75,-,6.75,-,-
01-10-2016,7.00,6.50,6.00,-,-,-,20.75
09-07-2016,7.00,6.50,6.00,-,-,-,21.00
05-04-2016,7.00,6.50,6.00,-,7.00,-,-
02-04-2016,7.75,6.75,5.75,-,-,-,21.25
29-09-2015,7.75,6.75,5.75,-,7.75,-,-
02-06-2015,8.25,7.25,6.25,-,8.25,-,-
04-03-2015,8.50,7.50,6.50,-,8.50,-,-
07-02-2015,8.75,7.75,6.75,-,-,-,21.50
15-01-2015,8.75,7.75,6.75,-,8.75,-,-
09-08-2014,9.00,8.00,7.00,-,-,-,22.00
14-06-2014,9.00,8.00,7.00,-,-,-,22.50
28-01-2014,9.00,8.00,7.00,-,9.00,-,-
29-10-2013,8.75,7.75,6.75,-,8.75,-,-
07-10-2013,9.00,7.50,6.50,-,9.00,-,-
20-09-2013,9.50,7.50,6.50,-,9.50,-,-
15-07-2013,10.25,7.25,6.25,-,10.25,-,-
03-05-2013,8.25,7.25,6.25,-,8.25,-,-
19-03-2013,8.50,7.50,6.50,-,8.50,-,-
09-02-2013,8.75,7.75,6.75,-,-,4,-
29-01-2013,8.75,7.75,6.75,-,8.75,-,-
03-11-2012,9.00,8.00,7.00,-,-,4.25,-
22-09-2012,9.00,8.00,7.00,-,-,4.5,-
11-08-2012,9.00,8.00,7.00,-,-,-,23.00
17-04-2012,9.00,8.00,7.00,-,9.00,-,-
10-03-2012,9.50,8.50,7.50,-,-,4.75,-
13-02-2012,9.50,8.50,7.50,-,-,-,-
